"age";"workclass";"fnlwgt";"education";"education-num";"marital-status";"occupation";"relationship";"race";"sex";"capital-gain";"capital-loss";"hours-per-week";"native-country";"label"
28;"Private";112403;"HS-grad";9;"Never-married";"Craft-repair";"Unmarried";"White";"Male";2354;0;40;"United-States";0
50;"Private";104501;"HS-grad";9;"Married-civ-spouse";"Craft-repair";"Husband";"White";"Male";0;0;40;"United-States";1
25;"Private";212302;"Some-college";10;"Separated";"Adm-clerical";"Unmarried";"White";"Female";0;0;40;"United-States";0
57;"Local-gov";198145;"Masters";14;"Married-civ-spouse";"Protective-serv";"Husband";"White";"Male";0;0;14;"United-States";1
39;"Private";160402;"Some-college";10;"Divorced";"Exec-managerial";"Not-in-family";"White";"Male";0;0;38;"United-States";0
46;"Private";146919;"HS-grad";9;"Separated";"Sales";"Not-in-family";"White";"Female";0;0;40;"United-States";0
41;"Private";239833;"HS-grad";9;"Married-spouse-absent";"Transport-moving";"Unmarried";"Black";"Male";0;0;50;"United-States";0
28;"Private";213152;"Bachelors";13;"Married-civ-spouse";"Adm-clerical";"Husband";"White";"Male";0;0;40;"?";1
52;"?";108211;"7th-8th";4;"Married-civ-spouse";"?";"Husband";"White";"Male";0;0;40;"United-States";0
44;"Self-emp-not-inc";277783;"Masters";14;"Never-married";"Farming-fishing";"Own-child";"White";"Male";0;0;99;"United-States";0
31;"Self-emp-not-inc";216283;"Assoc-acdm";12;"Married-civ-spouse";"Other-service";"Wife";"White";"Female";0;0;35;"United-States";1
58;"Self-emp-not-inc";331474;"HS-grad";9;"Married-civ-spouse";"Adm-clerical";"Wife";"White";"Female";0;0;20;"United-States";1
43;"Private";191814;"Assoc-acdm";12;"Married-civ-spouse";"Sales";"Husband";"White";"Male";7688;0;50;"United-States";1
33;"Self-emp-not-inc";175502;"Bachelors";13;"Married-civ-spouse";"Prof-specialty";"Husband";"White";"Male";0;0;60;"United-States";0
36;"Private";169469;"Some-college";10;"Married-civ-spouse";"Exec-managerial";"Husband";"White";"Male";7298;0;40;"United-States";1
44;"Local-gov";151089;"HS-grad";9;"Married-civ-spouse";"Machine-op-inspct";"Husband";"White";"Male";0;0;40;"United-States";0
22;"Private";162869;"Some-college";10;"Never-married";"Sales";"Other-relative";"White";"Male";0;0;65;"United-States";0
66;"Private";340734;"HS-grad";9;"Married-civ-spouse";"Sales";"Husband";"White";"Male";0;0;40;"United-States";0
18;"?";437851;"Some-college";10;"Never-married";"?";"Own-child";"White";"Male";0;0;40;"United-States";0
29;"Private";82393;"HS-grad";9;"Married-civ-spouse";"Other-service";"Own-child";"Asian-Pac-Islander";"Male";0;0;25;"Philippines";0
49;"Self-emp-inc";125892;"Masters";14;"Married-civ-spouse";"Exec-managerial";"Husband";"White";"Male";0;0;50;"United-States";1
37;"Private";260093;"HS-grad";9;"Never-married";"Adm-clerical";"Unmarried";"Black";"Female";0;0;40;"United-States";0
42;"Private";154374;"Bachelors";13;"Married-civ-spouse";"Exec-managerial";"Husband";"White";"Male";0;2415;60;"United-States";1
30;"State-gov";111883;"Some-college";10;"Never-married";"Prof-specialty";"Not-in-family";"White";"Male";0;0;40;"United-States";0
63;"Private";86108;"HS-grad";9;"Widowed";"Farming-fishing";"Not-in-family";"White";"Male";0;0;6;"United-States";0
22;"Private";133833;"Some-college";10;"Never-married";"Adm-clerical";"Own-child";"White";"Female";0;0;40;"United-States";0
51;"Self-emp-inc";139127;"Some-college";10;"Divorced";"Exec-managerial";"Unmarried";"White";"Female";0;0;50;"United-States";0
29;"Private";91189;"Bachelors";13;"Married-civ-spouse";"Machine-op-inspct";"Husband";"White";"Male";0;0;48;"United-States";0
27;"Self-emp-not-inc";153546;"Bachelors";13;"Never-married";"Prof-specialty";"Own-child";"White";"Female";0;0;40;"United-States";0
32;"Private";123429;"10th";6;"Separated";"Craft-repair";"Not-in-family";"White";"Male";0;0;40;"United-States";0
56;"Private";340171;"HS-grad";9;"Married-civ-spouse";"Transport-moving";"Husband";"Black";"Male";0;0;40;"United-States";0
25;"Private";133373;"HS-grad";9;"Separated";"Craft-repair";"Not-in-family";"White";"Male";0;0;40;"United-States";0
48;"Local-gov";148121;"Bachelors";13;"Married-spouse-absent";"Adm-clerical";"Unmarried";"Asian-Pac-Islander";"Female";0;0;40;"Philippines";0
61;"Private";243283;"HS-grad";9;"Married-civ-spouse";"Machine-op-inspct";"Husband";"White";"Male";0;0;40;"United-States";0
17;"Private";156736;"10th";6;"Never-married";"Sales";"Unmarried";"White";"Female";0;0;12;"United-States";0
46;"Private";251786;"1st-4th";2;"Separated";"Other-service";"Not-in-family";"White";"Female";0;0;40;"Mexico";0
37;"Private";341672;"Bachelors";13;"Separated";"Tech-support";"Not-in-family";"Asian-Pac-Islander";"Male";0;0;40;"Philippines";0
37;"Private";99374;"10th";6;"Married-civ-spouse";"Transport-moving";"Husband";"White";"Male";0;0;55;"United-States";0
25;"Private";113099;"HS-grad";9;"Separated";"Craft-repair";"Not-in-family";"Black";"Male";0;0;40;"United-States";0
64;"State-gov";104361;"Some-college";10;"Separated";"Adm-clerical";"Not-in-family";"White";"Female";0;0;65;"United-States";0
40;"State-gov";170525;"Some-college";10;"Never-married";"Adm-clerical";"Not-in-family";"White";"Female";0;0;38;"United-States";0
22;"?";110622;"Bachelors";13;"Never-married";"?";"Own-child";"Asian-Pac-Islander";"Female";0;0;15;"Taiwan";0
41;"Private";116103;"HS-grad";9;"Widowed";"Exec-managerial";"Other-relative";"White";"Male";914;0;40;"United-States";0
40;"Private";176069;"Bachelors";13;"Divorced";"Prof-specialty";"Not-in-family";"White";"Female";0;0;45;"United-States";0
23;"Private";161874;"Some-college";10;"Never-married";"Exec-managerial";"Own-child";"Black";"Male";0;0;40;"United-States";0
29;"Private";167737;"HS-grad";9;"Never-married";"Transport-moving";"Other-relative";"White";"Male";0;0;50;"United-States";0
26;"Private";162302;"Some-college";10;"Never-married";"Machine-op-inspct";"Not-in-family";"Asian-Pac-Islander";"Male";0;0;40;"Philippines";0
26;"Private";176146;"5th-6th";3;"Separated";"Craft-repair";"Not-in-family";"Other";"Male";0;0;35;"Mexico";0
21;"Private";460835;"HS-grad";9;"Never-married";"Sales";"Other-relative";"White";"Male";0;0;45;"United-States";0
28;"Private";122540;"10th";6;"Divorced";"Handlers-cleaners";"Not-in-family";"White";"Male";0;0;40;"United-States";0
58;"Private";186991;"HS-grad";9;"Married-civ-spouse";"Machine-op-inspct";"Husband";"White";"Male";0;0;40;"United-States";0
30;"Private";341346;"11th";7;"Married-civ-spouse";"Sales";"Husband";"White";"Male";0;0;40;"United-States";0
39;"Private";33355;"HS-grad";9;"Married-civ-spouse";"Transport-moving";"Husband";"White";"Male";7298;0;48;"United-States";1
44;"Private";98211;"Bachelors";13;"Married-civ-spouse";"Transport-moving";"Husband";"White";"Male";0;0;55;"United-States";0
44;"Self-emp-inc";37997;"HS-grad";9;"Married-civ-spouse";"Farming-fishing";"Husband";"White";"Male";0;0;60;"United-States";0
30;"Private";75755;"Assoc-voc";11;"Married-civ-spouse";"Prof-specialty";"Husband";"White";"Male";0;0;40;"United-States";0
17;"Private";327434;"10th";6;"Never-married";"Sales";"Own-child";"White";"Male";0;0;20;"United-States";0
47;"Private";142061;"Some-college";10;"Divorced";"Exec-managerial";"Unmarried";"White";"Female";0;0;40;"United-States";0
46;"Self-emp-not-inc";233974;"HS-grad";9;"Married-civ-spouse";"Farming-fishing";"Husband";"White";"Male";0;0;35;"United-States";0
57;"Private";250201;"11th";7;"Married-civ-spouse";"Other-service";"Husband";"White";"Male";0;0;52;"United-States";0
27;"Federal-gov";38645;"Bachelors";13;"Never-married";"Exec-managerial";"Not-in-family";"White";"Female";0;0;40;"United-States";0
29;"Local-gov";179681;"HS-grad";9;"Never-married";"Transport-moving";"Own-child";"White";"Female";0;0;37;"United-States";0
69;"Private";128348;"Bachelors";13;"Married-civ-spouse";"Exec-managerial";"Husband";"Black";"Male";9386;0;50;"United-States";1
32;"Private";194740;"Bachelors";13;"Married-civ-spouse";"Sales";"Husband";"White";"Male";0;1902;40;"United-States";1
41;"Private";190591;"Assoc-acdm";12;"Divorced";"Exec-managerial";"Not-in-family";"Black";"Female";0;0;40;"Jamaica";0
25;"Private";108658;"HS-grad";9;"Never-married";"Exec-managerial";"Not-in-family";"White";"Male";0;0;45;"United-States";0
79;"?";163140;"HS-grad";9;"Married-civ-spouse";"?";"Husband";"White";"Male";0;0;40;"United-States";1
19;"Local-gov";202184;"Some-college";10;"Never-married";"Adm-clerical";"Own-child";"White";"Male";0;0;15;"United-States";0
25;"Private";374163;"12th";8;"Married-civ-spouse";"Farming-fishing";"Husband";"Other";"Male";0;0;60;"Mexico";0
25;"Private";60358;"Some-college";10;"Never-married";"Sales";"Own-child";"White";"Male";0;0;40;"United-States";0
31;"Private";164707;"Some-college";10;"Never-married";"Sales";"Other-relative";"White";"Female";0;0;40;"?";0
39;"Private";65738;"Masters";14;"Never-married";"Other-service";"Not-in-family";"White";"Female";0;0;32;"United-States";0
26;"Private";388812;"Some-college";10;"Never-married";"Sales";"Not-in-family";"Black";"Male";0;0;35;"United-States";0
40;"?";180362;"Bachelors";13;"Never-married";"?";"Own-child";"White";"Female";0;0;40;"United-States";0
17;"Private";63734;"10th";6;"Never-married";"Handlers-cleaners";"Own-child";"White";"Male";0;0;20;"United-States";0
53;"Private";144361;"HS-grad";9;"Married-civ-spouse";"Machine-op-inspct";"Husband";"White";"Male";0;0;38;"United-States";0
27;"Local-gov";332249;"HS-grad";9;"Never-married";"Farming-fishing";"Own-child";"White";"Male";0;0;40;"United-States";0
41;"Private";74775;"Bachelors";13;"Married-civ-spouse";"Other-service";"Husband";"Asian-Pac-Islander";"Male";0;0;30;"Vietnam";0
39;"Private";49436;"Assoc-acdm";12;"Divorced";"Prof-specialty";"Unmarried";"White";"Female";0;1380;40;"United-States";0
57;"Private";372967;"10th";6;"Divorced";"Adm-clerical";"Other-relative";"White";"Female";0;0;70;"Germany";0
47;"Local-gov";228372;"Masters";14;"Married-civ-spouse";"Prof-specialty";"Husband";"White";"Male";0;0;48;"United-States";1
20;"Private";138938;"Some-college";10;"Never-married";"Prof-specialty";"Own-child";"White";"Female";0;0;10;"United-States";0
30;"Private";283767;"HS-grad";9;"Married-civ-spouse";"Adm-clerical";"Husband";"White";"Male";0;0;40;"?";0
19;"Private";177839;"HS-grad";9;"Never-married";"Other-service";"Own-child";"White";"Female";0;0;15;"United-States";0
32;"Private";141490;"Assoc-voc";11;"Divorced";"Exec-managerial";"Unmarried";"White";"Female";0;0;50;"United-States";0
25;"Private";80312;"Assoc-voc";11;"Never-married";"Adm-clerical";"Not-in-family";"White";"Female";4865;0;40;"United-States";0
58;"Self-emp-inc";182062;"Doctorate";16;"Married-civ-spouse";"Prof-specialty";"Husband";"White";"Male";0;0;24;"United-States";1
31;"Private";156493;"HS-grad";9;"Never-married";"Prof-specialty";"Own-child";"White";"Male";0;0;40;"United-States";0
26;"Private";118497;"HS-grad";9;"Married-civ-spouse";"Transport-moving";"Husband";"White";"Male";0;0;50;"United-States";0
25;"Private";200318;"HS-grad";9;"Married-civ-spouse";"Transport-moving";"Husband";"White";"Male";0;0;60;"United-States";0
19;"?";369678;"HS-grad";9;"Never-married";"?";"Not-in-family";"Other";"Male";0;0;30;"United-States";0
38;"Private";125933;"Bachelors";13;"Separated";"Exec-managerial";"Not-in-family";"White";"Male";27828;0;45;"United-States";1
31;"Private";53042;"Some-college";10;"Married-civ-spouse";"Machine-op-inspct";"Husband";"Black";"Male";0;0;40;"Trinadad&Tobago";0
79;"Local-gov";146244;"Doctorate";16;"Widowed";"Prof-specialty";"Unmarried";"White";"Female";0;0;40;"United-States";0
42;"Private";115511;"Doctorate";16;"Married-civ-spouse";"Prof-specialty";"Husband";"White";"Male";0;0;50;"United-States";0
24;"Private";283613;"Bachelors";13;"Married-civ-spouse";"Prof-specialty";"Husband";"White";"Male";0;0;40;"United-States";0
28;"Local-gov";175262;"Assoc-acdm";12;"Married-civ-spouse";"Protective-serv";"Husband";"White";"Male";0;2002;40;"England";0
43;"Private";50646;"HS-grad";9;"Married-civ-spouse";"Craft-repair";"Husband";"White";"Male";0;0;70;"United-States";0
31;"Private";114691;"HS-grad";9;"Never-married";"Sales";"Own-child";"White";"Male";0;0;40;"United-States";0
24;"?";138504;"HS-grad";9;"Separated";"?";"Unmarried";"Black";"Female";0;0;37;"United-States";0
32;"Private";381583;"HS-grad";9;"Married-civ-spouse";"Craft-repair";"Husband";"Other";"Male";0;0;40;"United-States";0
56;"Private";165315;"10th";6;"Married-civ-spouse";"Craft-repair";"Husband";"White";"Male";0;0;70;"?";0
25;"Private";299765;"Some-college";10;"Separated";"Adm-clerical";"Other-relative";"Black";"Female";0;0;40;"Jamaica";0
32;"Self-emp-inc";218407;"Some-college";10;"Never-married";"Exec-managerial";"Not-in-family";"White";"Male";0;0;70;"Cuba";0
33;"Private";180656;"Some-college";10;"Married-spouse-absent";"Craft-repair";"Not-in-family";"White";"Male";0;0;40;"?";0
34;"Private";209808;"Some-college";10;"Married-civ-spouse";"Adm-clerical";"Husband";"White";"Male";0;0;40;"United-States";1
43;"Private";188905;"5th-6th";3;"Separated";"Machine-op-inspct";"Not-in-family";"White";"Female";0;0;40;"Mexico";0
40;"Self-emp-not-inc";209040;"Bachelors";13;"Married-civ-spouse";"Sales";"Husband";"White";"Male";0;0;40;"United-States";0
42;"Self-emp-inc";152071;"Prof-school";15;"Married-civ-spouse";"Prof-specialty";"Husband";"White";"Male";0;0;60;"Cuba";1
38;"Private";191479;"Some-college";10;"Divorced";"Exec-managerial";"Own-child";"Black";"Female";0;0;40;"United-States";0
30;"Private";425528;"HS-grad";9;"Never-married";"Protective-serv";"Own-child";"White";"Male";0;0;70;"United-States";0
71;"Local-gov";229110;"HS-grad";9;"Widowed";"Exec-managerial";"Other-relative";"White";"Female";0;0;33;"United-States";0
44;"Private";83237;"Bachelors";13;"Married-civ-spouse";"Prof-specialty";"Husband";"White";"Male";0;0;55;"United-States";1
55;"Private";124808;"Assoc-voc";11;"Married-civ-spouse";"Prof-specialty";"Husband";"White";"Male";0;1977;50;"Germany";1
28;"Private";294936;"Bachelors";13;"Married-civ-spouse";"Prof-specialty";"Husband";"White";"Male";0;0;45;"United-States";0
57;"Private";170244;"Prof-school";15;"Never-married";"Prof-specialty";"Not-in-family";"White";"Female";0;0;40;"United-States";0
17;"Private";175024;"11th";7;"Never-married";"Handlers-cleaners";"Own-child";"White";"Male";2176;0;18;"United-States";0
32;"Self-emp-not-inc";171091;"HS-grad";9;"Married-civ-spouse";"Sales";"Husband";"White";"Male";0;0;40;"United-States";0
27;"Self-emp-not-inc";123116;"HS-grad";9;"Married-civ-spouse";"Transport-moving";"Husband";"White";"Male";0;0;40;"United-States";0
43;"State-gov";206139;"Bachelors";13;"Married-civ-spouse";"Adm-clerical";"Husband";"White";"Male";0;0;50;"United-States";1
39;"Federal-gov";382859;"HS-grad";9;"Married-civ-spouse";"Craft-repair";"Husband";"White";"Male";0;0;40;"United-States";1
22;"Private";306967;"Some-college";10;"Never-married";"Adm-clerical";"Not-in-family";"White";"Female";0;0;25;"United-States";0
38;"Private";238980;"Some-college";10;"Married-civ-spouse";"Other-service";"Husband";"White";"Male";0;0;40;"United-States";0
24;"Private";137591;"Some-college";10;"Never-married";"Sales";"Own-child";"White";"Male";0;0;10;"Greece";0
34;"Private";191291;"Some-college";10;"Never-married";"Craft-repair";"Not-in-family";"White";"Male";0;0;40;"United-States";0
27;"Local-gov";29174;"Bachelors";13;"Never-married";"Prof-specialty";"Unmarried";"White";"Female";0;0;40;"United-States";0
59;"Private";195835;"7th-8th";4;"Divorced";"Transport-moving";"Not-in-family";"White";"Male";0;0;40;"United-States";0
24;"Private";204172;"HS-grad";9;"Never-married";"Handlers-cleaners";"Own-child";"White";"Female";0;0;48;"United-States";0
54;"Private";98535;"Bachelors";13;"Married-civ-spouse";"Exec-managerial";"Husband";"White";"Male";0;0;40;"United-States";1
60;"Private";130684;"Some-college";10;"Married-civ-spouse";"Craft-repair";"Husband";"White";"Male";0;0;55;"United-States";0
20;"Private";133352;"Some-college";10;"Never-married";"Adm-clerical";"Own-child";"Asian-Pac-Islander";"Female";0;0;40;"Vietnam";0
44;"Private";159911;"7th-8th";4;"Married-civ-spouse";"Other-service";"Wife";"White";"Female";0;0;55;"United-States";0
24;"Federal-gov";191073;"HS-grad";9;"Never-married";"Armed-Forces";"Own-child";"White";"Male";0;0;40;"United-States";0
37;"Private";170563;"Assoc-voc";11;"Separated";"Prof-specialty";"Unmarried";"White";"Female";0;0;32;"United-States";0
33;"Private";226267;"7th-8th";4;"Never-married";"Sales";"Not-in-family";"White";"Male";0;0;43;"Mexico";0
44;"Federal-gov";280362;"Assoc-acdm";12;"Married-civ-spouse";"Craft-repair";"Husband";"White";"Male";0;0;40;"United-States";1
33;"Private";188246;"Bachelors";13;"Married-civ-spouse";"Exec-managerial";"Husband";"White";"Male";0;0;65;"United-States";1
47;"Private";110669;"Bachelors";13;"Separated";"Prof-specialty";"Unmarried";"White";"Female";0;0;50;"United-States";0
47;"Private";24723;"10th";6;"Divorced";"Exec-managerial";"Not-in-family";"Amer-Indian-Eskimo";"Female";0;0;45;"United-States";0
26;"Private";177720;"Assoc-acdm";12;"Divorced";"Prof-specialty";"Unmarried";"White";"Female";0;0;45;"United-States";0
24;"Private";291355;"Some-college";10;"Divorced";"Adm-clerical";"Not-in-family";"White";"Female";0;0;60;"United-States";0
27;"Private";126060;"Bachelors";13;"Never-married";"Exec-managerial";"Not-in-family";"White";"Female";0;0;40;"United-States";0
47;"Private";264244;"HS-grad";9;"Married-spouse-absent";"Craft-repair";"Not-in-family";"Black";"Female";0;0;40;"United-States";0
20;"Private";205895;"Some-college";10;"Never-married";"Sales";"Own-child";"White";"Female";0;0;20;"United-States";0
21;"Private";140764;"HS-grad";9;"Never-married";"Adm-clerical";"Other-relative";"White";"Female";0;0;45;"United-States";0
23;"?";194031;"Some-college";10;"Never-married";"?";"Not-in-family";"White";"Female";0;0;25;"United-States";0
42;"Federal-gov";115932;"Bachelors";13;"Divorced";"Adm-clerical";"Own-child";"White";"Male";0;0;40;"United-States";0
40;"Private";442045;"Some-college";10;"Married-civ-spouse";"Prof-specialty";"Husband";"White";"Male";0;0;40;"United-States";1
37;"Private";58337;"Some-college";10;"Divorced";"Exec-managerial";"Not-in-family";"White";"Female";0;0;40;"United-States";1
52;"Self-emp-not-inc";242341;"7th-8th";4;"Married-civ-spouse";"Craft-repair";"Husband";"Amer-Indian-Eskimo";"Male";0;0;40;"United-States";0
42;"Self-emp-inc";187702;"Prof-school";15;"Married-civ-spouse";"Prof-specialty";"Husband";"White";"Male";0;2415;60;"United-States";1
35;"Private";107125;"Bachelors";13;"Married-civ-spouse";"Prof-specialty";"Husband";"White";"Male";0;0;16;"United-States";1
31;"Private";180551;"HS-grad";9;"Married-civ-spouse";"Adm-clerical";"Wife";"White";"Female";0;0;40;"United-States";1
50;"Private";176609;"Some-college";10;"Divorced";"Other-service";"Not-in-family";"White";"Male";0;0;45;"United-States";0
18;"Private";243240;"HS-grad";9;"Never-married";"Machine-op-inspct";"Not-in-family";"White";"Male";0;0;37;"United-States";0
45;"Private";289468;"11th";7;"Widowed";"Other-service";"Unmarried";"White";"Female";0;0;40;"United-States";0
31;"Self-emp-inc";49923;"HS-grad";9;"Married-civ-spouse";"Exec-managerial";"Husband";"White";"Male";0;0;40;"United-States";0
19;"Private";236879;"Some-college";10;"Never-married";"Exec-managerial";"Own-child";"White";"Female";0;0;35;"United-States";0
39;"Private";91996;"HS-grad";9;"Divorced";"Other-service";"Unmarried";"White";"Female";0;0;40;"United-States";0
44;"Private";98779;"10th";6;"Married-civ-spouse";"Machine-op-inspct";"Husband";"White";"Male";4386;0;60;"United-States";0
22;"Private";206974;"Bachelors";13;"Never-married";"Sales";"Not-in-family";"White";"Female";0;0;40;"United-States";0
64;"?";380687;"Bachelors";13;"Married-civ-spouse";"?";"Wife";"Black";"Female";0;0;8;"United-States";0
70;"Private";282642;"HS-grad";9;"Married-civ-spouse";"Handlers-cleaners";"Husband";"White";"Male";0;2174;40;"United-States";1
23;"Private";240137;"5th-6th";3;"Never-married";"Handlers-cleaners";"Not-in-family";"White";"Male";0;0;55;"Mexico";0
66;"Private";262285;"Bachelors";13;"Married-civ-spouse";"Prof-specialty";"Husband";"White";"Male";0;0;99;"United-States";0
33;"Private";112115;"Bachelors";13;"Married-civ-spouse";"Exec-managerial";"Husband";"White";"Male";0;1902;45;"United-States";1
24;"Private";206861;"Bachelors";13;"Never-married";"Adm-clerical";"Own-child";"White";"Male";0;0;40;"United-States";0
64;"Self-emp-inc";161325;"Assoc-acdm";12;"Married-civ-spouse";"Sales";"Husband";"White";"Male";0;1887;50;"United-States";1
35;"State-gov";150488;"Bachelors";13;"Never-married";"Prof-specialty";"Not-in-family";"White";"Female";0;0;40;"United-States";0
40;"Private";175398;"Assoc-voc";11;"Divorced";"Prof-specialty";"Not-in-family";"White";"Female";0;0;20;"United-States";0
51;"Private";45599;"HS-grad";9;"Divorced";"Prof-specialty";"Not-in-family";"White";"Male";0;0;40;"United-States";0
42;"Private";383493;"Masters";14;"Married-civ-spouse";"Prof-specialty";"Husband";"White";"Male";0;0;50;"United-States";1
42;"Private";175133;"Some-college";10;"Never-married";"Machine-op-inspct";"Unmarried";"Black";"Female";0;0;40;"United-States";0
35;"Private";417136;"HS-grad";9;"Divorced";"Craft-repair";"Unmarried";"Black";"Male";0;0;40;"United-States";0
35;"Private";143589;"Bachelors";13;"Married-spouse-absent";"Prof-specialty";"Not-in-family";"Asian-Pac-Islander";"Female";0;0;40;"Philippines";0
37;"Local-gov";365430;"Some-college";10;"Married-civ-spouse";"Adm-clerical";"Husband";"White";"Male";0;0;40;"Canada";1
